,,,,,
Set A,,USED,Set B,,USED
"What album cover, by the Rolling Stones, has a functioning zip on the side?",Sticky Fingers,FALSE,,,FALSE
,,,,,
,,,,,
Set A,,USED,Set B,,USED
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,,,,
,,,,,
Set A,,USED,Set B,,USED
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
,,FALSE,,,FALSE
